Mode,Significance,Normalized_Amplitude,Magnitude
37,0.15136540676061186,0.1334892590170516,1.1339145027486952
38,0.15136540675908644,0.13348925901570635,1.1339145027486952
12,0.14249834247435675,0.12605942708252152,1.1304060772945916
13,0.1424983424673273,0.126059427076303,1.1304060772945916
79,0.1107531846583476,0.09967801133041096,1.1111094932584966
80,0.11075318465719618,0.09967801132937468,1.1111094932584966
43,0.10011149311701975,0.0891879418617803,1.1224778936166988
44,0.10011149311559957,0.08918794186051508,1.1224778936166988
39,0.09353549591193427,0.08283008874641211,1.1292453905041346
40,0.09353549591056054,0.08283008874519561,1.1292453905041346
41,0.07904738392293013,0.0702454210949884,1.1253030117940273
42,0.07904738392155347,0.07024542109376503,1.1253030117940273
96,0.06137414605173876,0.9209584692394911,0.06664160013905979
97,0.06137414605078209,0.9209584692251357,0.06664160013905979
91,0.043291883536430556,0.04192810711221697,1.0325265440808848
92,0.04329188353622545,0.041928107112018324,1.0325265440808848
98,0.029703271679706766,0.1574027047511808,0.18870877553636156
94,0.023980809248658676,0.34511466627475695,0.06948649707505267
95,0.02398080924725741,0.345114666254591,0.06948649707505267
85,0.022409196076963643,0.020938970753008997,1.0702147847330734
86,0.022409196076589928,0.0209389707526598,1.0702147847330734
88,0.0036709853123117085,0.003426545374897268,1.0713371371659623
87,0.003670985312231147,0.003426545374822071,1.0713371371659623
